"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
01097.hk,有線寬頻,09/11/21,0.0264 /(61.2%),0.039 /47.73%,-,Celestial Pioneer Limited (鄭家純),27/01/22,03/03/22,03/03/25,要約完成
00030.hk,雲白國際,04/11/21,0.285 /3.64%,0.255 /(10.53%),-,雲白藥香港有限公司 (雲南白藥 SZ: 000538),15/12/21,18/01/22,18/01/25,要約完成
02107.hk,第一服務控股,01/11/21,2.6267 /91.0%,0.32 /(87.82%),-,融創服務投資 (HKEX: 1516),未公佈,未公佈,-,全購取消
01717.hk,澳優,27/10/21,10.06 /13.67%,2.3 /(77.14%),-,香港金港商貿控股有限公司 (內蒙古伊利實業集團 SH: 600887),10/02/22,17/03/22,17/03/25,要約完成
00935.hk,龍翔集團,08/10/21,1.28 /8.47%,1.27 /(0.78%),-,宏川智慧物流 (香港) 有限公司 (廣東宏川智慧物流),09/03/22,06/04/22,06/04/25,要約完成
00442.hk,域能控股,08/10/21,1.546 /(22.7%),0.7 /(54.72%),-,精益集團有限公司 (蘇樹輝),05/11/21,26/11/21,26/11/24,要約完成
00948.hk,阿爾法企業,04/10/21,1.2 /1.69%,0.211 /(82.42%),-,華得投資有限公司 (莊舜而),08/11/21,29/11/21,29/11/24,要約完成
00804.hk,鼎石資本,30/09/21,0.07934 /11.75%,0.233 /193.67%,-,富盈國際發展有限公司,未公佈,未公佈,-,待公佈
06161.hk,泰加保險,30/09/21,0.57 /(41.24%),0.48 /(15.79%),-,Smart Neo Holdings Limited (吳宇 - 執行董事兼董事會主席),未公佈,未公佈,-,待公佈
08406.hk,中國口腔產業,10/09/21,0.12 /(31.43%),0.117 /(2.5%),-,嚴萍,29/10/21,19/11/21,19/11/24,要約完成
08029.hk,帝國金融集團,07/09/21,0.1 /(80.0%),0.61 /510.0%,-,Fresh Success Investments Limited (鄭丁港),11/10/21,01/11/21,01/11/24,要約完成
01589.hk,中國物流資產,03/09/21,4.35 /(17.25%),4.32 /(0.69%),26.38%,京東智能產業發展集團 (京東集團 HKEX: 9618),04/02/22,20/05/22,20/05/25,要約完成
00068.hk,利興發展,27/08/21,0.8 /53.9%,0.52 /(35.0%),-,Lee Hing (2021) Limited (陳文生 - 公司主席),10/11/21,10/03/22,10/03/25,要約完成
01059.hk,看通集團,25/08/21,0.461 /12.44%,0.38 /(17.57%),59.04%,城創投資有限公司 (陳冠華),03/12/21,28/12/21,28/12/24,要約完成
01850.hk,鴻盛昌資源,18/08/21,0.3334 /(75.12%),0.167 /(49.91%),-,聯騰集團有限公司 (任桂生),17/09/21,11/10/21,11/10/24,要約完成
00636.hk,KLN,11/08/21,18.8 /(19.14%),8.64 /(54.04%),-,Flourish Harmony Holdings Company Limited (順豐控股股份有限公司),12/08/21,15/09/21,15/09/24,要約完成
01450.hk,交個朋友控股,30/07/21,0.23 /(71.25%),1.18 /413.04%,-,Golden Ocean Holdings Corp,07/09/21,28/09/21,28/09/24,要約完成
01854.hk,中國萬天控股,06/07/21,0.15 /7.14%,1.2 /700.0%,41.27%,佳源控股有限公司,19/08/21,09/09/21,09/09/24,要約完成
00378.hk,五龍動力,05/07/21,0.0043 /(64.17%),0.018 /318.6%,-,Victory Summit Global Limited (徐昊昊),26/07/21,23/08/21,23/08/24,全購取消
00100.hk,白馬戶外媒體,05/07/21,7.12 /(-0.0%),7.12 /(-0.0%),-,永和環球有限公司 (城領發展),03/08/21,24/08/21,24/08/24,要約完成
